title,description,link,date
기재차관 디플레 분명히 경계해야…불필요 논란 지속 시 부담,1차관은 3일 디플레이션은 분명히 경계해야 한다며 다만 불필요한 논란이 지속할 경우 경제주체들의 자기실현적 경로를 통해 경제에 큰 부담으로 작용할 수 있다고 밝혔다. 김 차관은 이날 서울 중구 은행회관에서 열린... ,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0011057609,2019-09-03
"위안화 가치 지속 하락…中, 美고율관세 상쇄효과 노려",위안화 가치는 3.7%나 떨어졌다. 이는 월간 기준으로는 1994년 이후 15년 만에 가장 큰 하락 폭이다. 위안화 환율이 오르면 미국의 대중 고율 관세 효과가 부분적으로 상쇄돼 중국 수출 기업들에 도움이 될 수 있다.... ,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0011057878,2019-09-03
물가는 바닥 뚫고 성장세는 약화…한은 디플레 우려 퇴치 나설까(종합),소비자물가까지 하락했다면 사실상 디플레이션이 진행되고 있다고 봐야 할 것이라고 말했다. 성장세 약화도 폴리시믹스(Policy mix·정책조합) 차원에서 한은이 더 적극적으로 돈을 풀어야 한다는 요구가 커질 수 있는... ,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0011057491,2019-09-03
'상품 설명과 계약이 다르다'…전북 금융 민원 중 보험이 최다,3%…금감원 전북지원 분석 올 상반기 전북도민의 금융 민원 중 가장 많은 것은 보험 관련인 것으로... 보험 모집 민원을 보면 종신보험(보장성 보험)을 저축성 보험으로 설명하거나 모집인의 상품 설명과 계약 내용이... ,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0011061608,2019-09-04
美 '제조업 위축' 국면에 달러 강세 주춤…원/달러 환율 하락,나타났던 달러 강세 흐름이 주춤해진 데 따른 것으로 풀이된다. 미국 공급관리협회(ISM)가 발표한 미국의 8월 제조업 구매관리자지수(PMI)는 49.1로 전월 51.2보다 하락했다. 경기 확장과 위축을 구분하는 기준인 50.0... ,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0011060060,2019-09-04
"코스피 하락 출발 후 상승 전환…장중 1,970선 회복(종합2보)","코스피가 4일 하락세로 출발한 후 상승세로 전환했다. 이날 오전 10시 1분 현재 코스피는 전 거래일보다 5.35포인트(0.27%) 오른 1,971.04를 가리켰다. 지수는 전장보다 3.26포인트(0.17%) 내린 1,962.43에서... ",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0011060203,2019-09-04
"獨 양대은행 CEO 금리인하, 자산가격 상승 부추겨 사회 분열",도이체방크의 CEO인 크리스티안 제빙은 이날 금융 관련 콘퍼런스에서 은행의 고객들은 (금리가) 0.1% 포인트 더 내려간다면 투자하지 않을 것이라고 한다고 말했다. 그는 금리 인하는 자산 가격의 상승을 부추기고... ,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=104&oid=001&aid=0011062531,2019-09-05
유진투자 기관 해외채권투자 증가…투자 비중 최고,유진투자증권은 5일 국내 기관투자가의 해외 채권 투자가 늘어 해외 외화증권 투자 중 채권 투자 비중이 사상 최고 수준을 기록했다고 밝혔다. 신동수 연구원은 지난 6월 말 국내 기관투자가의 외화증권투자 잔액은... ,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0011063287,2019-09-05
美연준 美경제 완만한 성장 지속…단기 낙관론 유지,연준은 현지시간 4일 발표한 경기동향 보고서 '베이지 북'에서 미국 경제는 지난날 말까지 완만한 속도로 확장했다고 밝혔습니다. 앞서 연준은 지난 4월 베이지 북에서 미국 경제 성장세를 '다소 미약한' 수준으로... ,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=104&oid=214&aid=0000977305,2019-09-05
초저금리 훈풍에 세계 주요 기업 회사채 발행 '러시',달러 세계 주요 기업들의 회사채 발행이 러시를 이루고 있다. 각국 중앙은행이 금융완화에 나서면서 일부 국가의 장기채 금리가 마이너스로 돌아서는 등 초저금리 환경이 조성되자 저비용으로 장기 자금을 확보하기... ,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=104&oid=001&aid=0011066404,2019-09-06
