DATE,DE.DAX30
2020-11-06,12480.02
2020-11-05,12568.09
2020-11-04,12324.22
2020-11-03,12088.98
2020-11-02,11788.28
2020-10-30,11556.48
2020-10-29,11598.07
2020-10-28,11560.51
2020-10-27,12063.57
2020-10-26,12177.18
2020-10-23,12645.75
2020-10-22,12543.06
2020-10-21,12557.64
2020-10-20,12736.95
2020-10-19,12854.66
2020-10-16,12908.99
2020-10-15,12675.98
2020-10-14,13028.06
2020-10-13,13018.99
2020-10-12,13138.41
2020-10-09,13051.23
2020-10-08,13042.21
2020-10-07,12928.57
2020-10-06,12906.02
2020-10-05,12828.31
2020-10-02,12689.04
2020-10-01,12730.77
2020-09-30,12760.73
2020-09-29,12825.82
2020-09-28,12870.87
2020-09-25,12469.2
2020-09-24,12606.57
2020-09-23,12642.97
2020-09-22,12594.39
2020-09-21,12542.44
2020-09-18,13116.25
2020-09-17,13208.12
2020-09-16,13255.37
2020-09-15,13217.67
2020-09-14,13193.66
2020-09-11,13202.84
2020-09-10,13208.89
2020-09-09,13237.21
2020-09-08,12968.33
2020-09-07,13100.28
2020-09-04,12842.66
2020-09-03,13057.77
2020-09-02,13243.43
2020-09-01,12974.25
2020-08-31,12945.38
2020-08-28,13033.2
2020-08-27,13096.36
2020-08-26,13190.15
2020-08-25,13061.62
2020-08-24,13066.54
2020-08-21,12764.8
2020-08-20,12830.0
2020-08-19,12977.33
2020-08-18,12881.76
2020-08-17,12920.66
2020-08-14,12901.34
2020-08-13,12993.71
2020-08-12,13058.63
2020-08-11,12946.89
2020-08-10,12687.53
2020-08-07,12674.88
2020-08-06,12591.68
2020-08-05,12660.25
2020-08-04,12600.87
2020-08-03,12646.98
2020-07-31,12313.36
2020-07-30,12379.65
2020-07-29,12822.26
2020-07-28,12835.28
2020-07-27,12838.66
2020-07-24,12838.06
2020-07-23,13103.39
2020-07-22,13104.25
2020-07-21,13171.83
2020-07-20,13046.92
2020-07-17,12919.61
2020-07-16,12874.97
2020-07-15,12930.98
