DATE,FTSE100
2020-11-06,5910.02
2020-11-05,5906.18
2020-11-04,5883.26
2020-11-03,5786.77
2020-11-02,5654.97
2020-10-30,5577.27
2020-10-29,5581.75
2020-10-28,5582.8
2020-10-27,5728.99
2020-10-26,5792.01
2020-10-23,5860.28
2020-10-22,5785.65
2020-10-21,5776.5
2020-10-20,5889.22
2020-10-19,5884.65
2020-10-16,5919.58
2020-10-15,5832.52
2020-10-14,5935.06
2020-10-13,5969.71
2020-10-12,6001.38
2020-10-09,6016.65
2020-10-08,5978.03
2020-10-07,5946.25
2020-10-06,5949.94
2020-10-05,5942.94
2020-10-02,5902.12
2020-10-01,5879.45
2020-09-30,5866.1
2020-09-29,5897.5
2020-09-28,5927.93
2020-09-25,5842.67
2020-09-24,5822.78
2020-09-23,5899.26
2020-09-22,5829.46
2020-09-21,5804.29
2020-09-18,6007.05
2020-09-17,6049.92
2020-09-16,6078.48
2020-09-15,6105.54
2020-09-14,6026.25
2020-09-11,6032.09
2020-09-10,6003.32
2020-09-09,6012.84
2020-09-08,5930.3
2020-09-07,5937.4
2020-09-04,5799.08
2020-09-03,5850.86
2020-09-02,5940.95
2020-09-01,5862.05
2020-08-28,5963.57
2020-08-27,5999.99
2020-08-26,6045.6
2020-08-25,6037.01
2020-08-24,6104.73
2020-08-21,6001.89
2020-08-20,6013.34
2020-08-19,6111.98
2020-08-18,6076.62
2020-08-17,6127.44
2020-08-14,6090.04
2020-08-13,6185.62
2020-08-12,6280.12
2020-08-11,6154.34
2020-08-10,6050.59
2020-08-07,6032.18
2020-08-06,6026.94
2020-08-05,6104.72
2020-08-04,6036.0
2020-08-03,6032.85
2020-07-31,5897.76
2020-07-30,5989.99
2020-07-29,6131.46
2020-07-28,6129.26
2020-07-27,6104.88
2020-07-24,6123.82
2020-07-23,6211.44
2020-07-22,6207.1
2020-07-21,6269.73
2020-07-20,6261.52
2020-07-17,6290.3
2020-07-16,6250.69
2020-07-15,6292.65
2020-07-14,6179.75
2020-07-13,6176.19
2020-07-10,6095.41
2020-07-09,6049.62
2020-07-08,6156.16
2020-07-07,6189.9
2020-07-06,6285.94
2020-07-03,6157.3
2020-07-02,6240.36
2020-07-01,6157.96
2020-06-30,6169.74
2020-06-29,6225.77
2020-06-26,6159.3
2020-06-25,6147.14
2020-06-24,6123.69
2020-06-23,6320.12
2020-06-22,6244.62
2020-06-19,6292.6
2020-06-18,6224.07
2020-06-17,6253.25
2020-06-16,6242.79
2020-06-15,6064.7
2020-06-12,6105.18
2020-06-11,6076.7
2020-06-10,6329.13
2020-06-09,6335.72
2020-06-08,6472.59
2020-06-05,6484.3
2020-06-04,6341.44
2020-06-03,6382.41
2020-06-02,6220.14
2020-06-01,6166.42
2020-05-29,6076.6
2020-05-28,6218.79
2020-05-27,6144.25
2020-05-26,6067.76
2020-05-22,5993.28
2020-05-21,6015.25
2020-05-20,6067.16
2020-05-19,6002.23
2020-05-18,6048.59
2020-05-15,5799.77
2020-05-14,5741.54
2020-05-13,5904.05
2020-05-12,5994.77
2020-05-11,5939.73
2020-05-07,5935.98
2020-05-06,5853.76
2020-05-05,5849.42
2020-05-04,5753.78
2020-05-01,5763.06
2020-04-30,5901.21
2020-04-29,6115.25
2020-04-28,5958.5
2020-04-27,5846.79
2020-04-24,5752.23
2020-04-23,5826.61
2020-04-22,5770.63
2020-04-21,5641.03
2020-04-20,5812.83
2020-04-17,5786.96
2020-04-16,5628.43
2020-04-15,5597.65
2020-04-14,5791.31
2020-04-09,5842.66
2020-04-08,5677.73
2020-04-07,5704.45
2020-04-06,5582.39
2020-04-03,5415.5
2020-04-02,5480.22
2020-04-01,5454.57
2020-03-31,5671.96
2020-03-30,5563.74
2020-03-27,5510.33
2020-03-26,5815.73
2020-03-25,5688.2
2020-03-24,5446.01
2020-03-23,4993.89
2020-03-20,5190.78
2020-03-19,5151.61
2020-03-18,5080.58
2020-03-17,5294.9
2020-03-16,5151.08
2020-03-13,5366.11
2020-03-12,5237.48
2020-03-11,5876.52
2020-03-10,5960.23
2020-03-09,5965.77
2020-03-06,6462.55
2020-03-05,6705.43
2020-03-04,6815.59
2020-03-03,6730.3
2020-03-02,6654.89
2020-02-28,6560.97
2020-02-27,6796.4
2020-02-26,7042.47
2020-02-25,7017.88
2020-02-24,7156.83
2020-02-21,7403.92
2020-02-20,7436.64
2020-02-19,7457.02
2020-02-18,7382.01
2020-02-17,7433.25
2020-02-14,7409.13
2020-02-13,7452.03
2020-02-12,7534.37
2020-02-11,7511.44
2020-02-10,7446.88
2020-02-07,7466.7
2020-02-06,7504.79
2020-02-05,7482.48
2020-02-04,7439.82
2020-02-03,7326.31
2020-01-31,7286.01
2020-01-30,7381.96
2020-01-29,7483.57
2020-01-28,7480.69
2020-01-27,7412.05
2020-01-24,7585.98
2020-01-23,7507.67
2020-01-22,7571.92
2020-01-21,7610.7
2020-01-20,7651.44
2020-01-17,7674.56
2020-01-16,7609.81
2020-01-15,7642.8
2020-01-14,7622.35
2020-01-13,7617.6
2020-01-10,7587.85
2020-01-09,7598.12
2020-01-08,7574.93
2020-01-07,7573.85
2020-01-06,7575.34
2020-01-03,7622.4
2020-01-02,7604.3
2019-12-31,7542.44
2019-12-30,7587.05
2019-12-27,7644.9
2019-12-24,7632.24
2019-12-23,7623.59
2019-12-20,7582.48
2019-12-19,7573.82
2019-12-18,7540.75
2019-12-17,7525.28
2019-12-16,7519.05
2019-12-13,7353.44
2019-12-12,7273.47
2019-12-11,7216.25
2019-12-10,7213.76
2019-12-09,7233.9
2019-12-06,7239.66
2019-12-05,7137.85
2019-12-04,7188.5
2019-12-03,7158.76
2019-12-02,7285.94
2019-11-29,7346.53
2019-11-28,7416.43
2019-11-27,7429.78
2019-11-26,7403.14
2019-11-25,7396.29
2019-11-22,7326.81
2019-11-21,7238.55
2019-11-20,7262.49
2019-11-19,7323.8
