년/월/일,총수익지수,순가격지수,제로재투자지수,콜재투자지수,시장가격지수
2010-01-01,122.87,101.65,122.11,122.82,103.35
2010-01-02,122.89,101.64,122.12,122.84,103.36
2010-01-03,122.91,101.64,122.14,122.85,103.38
2010-01-04,122.81,101.55,122.05,122.76,103.26
2010-01-05,123.11,101.78,122.33,123.04,103.5
2010-01-06,123,101.68,122.23,122.95,103.41
2010-01-07,123.35,101.96,122.56,123.27,103.69
2010-01-08,123.23,101.85,122.45,123.16,103.59
2010-01-09,123.25,101.84,122.46,123.18,103.6
2010-01-10,123.26,101.84,122.47,123.19,103.61
2010-01-11,123.48,102.01,122.67,123.39,103.77
2010-01-12,123.57,102.08,122.77,123.49,103.84
2010-01-13,123.58,102.06,122.77,123.49,103.84
2010-01-14,123.66,102.12,122.85,123.57,103.89
2010-01-15,123.59,102.05,122.78,123.51,103.82
2010-01-16,123.61,102.05,122.8,123.52,103.83
2010-01-17,123.62,102.05,122.81,123.53,103.85
2010-01-18,123.55,101.97,122.75,123.47,103.76
2010-01-19,123.71,102.09,122.89,123.61,103.88
2010-01-20,123.72,102.08,122.9,123.62,103.88
2010-01-21,123.72,102.07,122.9,123.63,103.88
2010-01-22,123.79,102.11,122.97,123.69,103.92
2010-01-23,123.8,102.11,122.98,123.71,103.94
2010-01-24,123.82,102.11,123,123.72,103.95
2010-01-25,123.82,102.09,122.99,123.72,103.92
2010-01-26,123.98,102.22,123.15,123.88,104.05
2010-01-27,123.94,102.17,123.11,123.83,104.01
2010-01-28,123.78,102.02,122.95,123.68,103.85
2010-01-29,123.96,102.15,123.12,123.85,103.98
2010-01-30,123.97,102.15,123.14,123.87,103.97
2010-01-31,123.99,102.15,123.15,123.88,103.99
2010-02-01,123.94,102.1,123.11,123.84,103.93
2010-02-02,124.05,102.18,123.22,123.95,103.99
2010-02-03,124.1,102.2,123.26,123.99,104.03
2010-02-04,124.16,102.24,123.32,124.05,104.07
2010-02-05,124.3,102.34,123.45,124.18,104.18
2010-02-06,124.32,102.34,123.46,124.19,104.19
2010-02-07,124.33,102.34,123.47,124.21,104.2
2010-02-08,124.26,102.27,123.41,124.14,104.12
2010-02-09,124.28,102.26,123.42,124.16,104.12
2010-02-10,124.31,102.28,123.46,124.19,104.14
2010-02-11,124.53,102.44,123.66,124.39,104.32
2010-02-12,124.67,102.56,123.8,124.53,104.43
2010-02-13,124.69,102.55,123.81,124.55,104.44
2010-02-14,124.7,102.55,123.82,124.56,104.46
2010-02-15,124.72,102.55,123.84,124.58,104.47
2010-02-16,124.72,102.54,123.84,124.58,104.44
2010-02-17,124.76,102.55,123.87,124.61,104.46
2010-02-18,124.8,102.58,123.92,124.66,104.49
2010-02-19,124.65,102.44,123.78,124.52,104.36
2010-02-20,124.67,102.44,123.79,124.53,104.37
2010-02-21,124.68,102.43,123.81,124.55,104.38
2010-02-22,124.7,102.43,123.82,124.56,104.38
2010-02-23,124.82,102.52,123.93,124.67,104.47
2010-02-24,124.97,102.63,124.07,124.81,104.58
2010-02-25,125.21,102.82,124.3,125.04,104.78
2010-02-26,125.22,102.81,124.31,125.05,104.76
2010-02-27,125.22,102.81,124.31,125.06,104.78
2010-02-28,125.24,102.81,124.32,125.07,104.78
2010-03-01,125.25,102.8,124.34,125.08,104.79
2010-03-02,125.31,102.83,124.39,125.14,104.75
2010-03-03,125.44,102.92,124.51,125.26,104.84
2010-03-04,125.56,103.01,124.62,125.37,104.93
2010-03-05,125.61,103.04,124.67,125.42,104.96
2010-03-06,125.63,103.03,124.69,125.44,104.97
2010-03-07,125.64,103.03,124.7,125.45,104.98
2010-03-08,125.64,103.02,124.7,125.45,104.97
2010-03-09,125.75,103.1,124.8,125.56,105.04
2010-03-10,125.83,103.15,124.87,125.63,104.51
2010-03-11,126.26,103.49,125.28,126.04,104.86
2010-03-12,126.45,103.63,125.45,126.21,105
2010-03-13,126.46,103.63,125.47,126.22,105.01
2010-03-14,126.48,103.63,125.48,126.24,105.02
2010-03-15,126.49,103.63,125.49,126.25,105.01
2010-03-16,126.71,103.79,125.69,126.45,105.18
2010-03-17,126.86,103.9,125.83,126.59,105.26
2010-03-18,127.04,104.04,126,126.76,105.4
2010-03-19,127.04,104.02,126,126.76,105.39
2010-03-20,127.05,104.02,126.01,126.77,105.4
2010-03-21,127.06,104.01,126.02,126.79,105.41
2010-03-22,127.2,104.11,126.14,126.91,105.5
2010-03-23,126.76,103.74,125.74,126.51,105.14
2010-03-24,126.52,103.52,125.52,126.28,104.92
2010-03-25,126.9,103.82,125.87,126.63,105.23
2010-03-26,126.81,103.73,125.79,126.55,105.14
2010-03-27,126.82,103.73,125.8,126.57,105.15
2010-03-28,126.84,103.73,125.81,126.58,105.16
2010-03-29,126.62,103.54,125.61,126.38,104.96
2010-03-30,126.63,103.53,125.62,126.39,104.95
2010-03-31,126.76,103.62,125.74,126.51,105.05
2010-04-01,126.96,103.77,125.92,126.69,105.2
2010-04-02,126.97,103.76,125.93,126.7,105.21
2010-04-03,126.98,103.76,125.95,126.72,105.22
2010-04-04,127,103.76,125.96,126.73,105.23
2010-04-05,126.91,103.67,125.88,126.65,105.13
2010-04-06,126.97,103.7,125.93,126.7,105.17
2010-04-07,127.12,103.82,126.08,126.85,105.3
2010-04-08,127.33,103.98,126.27,127.04,105.46
2010-04-09,127.23,103.88,126.18,126.95,105.37
2010-04-10,127.24,103.88,126.19,126.96,105.38
2010-04-11,127.26,103.87,126.2,126.97,105.39
2010-04-12,126.98,103.63,125.95,126.72,105.14
2010-04-13,127.02,103.65,125.98,126.76,105.17
2010-04-14,126.92,103.55,125.88,126.66,105.06
2010-04-15,127.01,103.61,125.97,126.74,105.13
2010-04-16,127.16,103.73,126.12,126.89,105.24
2010-04-17,127.18,103.72,126.13,126.9,105.25
2010-04-18,127.19,103.72,126.14,126.92,105.26
2010-04-19,127.2,103.71,126.15,126.92,105.25
2010-04-20,127.25,103.74,126.19,126.97,105.28
2010-04-21,127.15,103.65,126.11,126.88,105.19
2010-04-22,127.26,103.72,126.2,126.98,105.27
2010-04-23,127.31,103.75,126.25,127.03,105.3
2010-04-24,127.32,103.74,126.26,127.04,105.31
2010-04-25,127.33,103.74,126.27,127.05,105.32
2010-04-26,127.37,103.75,126.3,127.09,105.33
2010-04-27,127.57,103.91,126.49,127.28,105.49
2010-04-28,127.62,103.93,126.54,127.32,105.51
2010-04-29,127.71,103.99,126.62,127.4,105.57
2010-04-30,127.61,103.9,126.53,127.31,105.45
2010-05-01,127.62,103.9,126.54,127.33,105.51
2010-05-02,127.64,103.89,126.55,127.34,105.52
2010-05-03,127.43,103.71,126.36,127.15,105.31
2010-05-04,127.41,103.68,126.34,127.13,105.23
2010-05-05,127.42,103.67,126.36,127.14,105.24
2010-05-06,127.18,103.46,126.13,126.92,105.02
2010-05-07,127.35,103.58,126.29,127.08,105.16
