DATE,DCOILWTICO
2010-01-01,79.35
2010-01-04,79.39
2010-01-05,81.52
2010-01-06,81.74
2010-01-07,83.12
2010-01-08,82.6
2010-01-11,82.74
2010-01-12,82.54
2010-01-13,80.79
2010-01-14,79.66
2010-01-15,79.35
2010-01-19,77.96
2010-01-20,78.98
2010-01-21,77.42
2010-01-22,75.84
2010-01-25,74.25
2010-01-26,74.9
2010-01-27,74.67
2010-01-28,73.64
2010-01-29,73.62
2010-02-01,72.85
2010-02-02,74.41
2010-02-03,77.21
2010-02-04,76.96
2010-02-05,73.13
2010-02-08,71.15
2010-02-09,71.87
2010-02-10,73.71
2010-02-11,74.48
2010-02-12,75.23
2010-02-16,74.11
2010-02-17,76.98
2010-02-18,77.27
2010-02-19,78.97
2010-02-22,79.77
2010-02-23,80.04
2010-02-24,78.61
2010-02-25,79.75
2010-02-26,77.99
2010-03-01,79.72
2010-03-02,78.71
2010-03-03,79.62
2010-03-04,80.91
2010-03-05,80.21
2010-03-08,81.5
2010-03-09,81.85
2010-03-10,81.5
2010-03-11,82.07
2010-03-12,82.1
2010-03-15,81.26
2010-03-16,79.79
2010-03-17,81.75
2010-03-18,82.93
2010-03-19,82.16
2010-03-22,80.58
2010-03-23,81.26
2010-03-24,81.68
2010-03-25,80.29
2010-03-26,80.25
2010-03-29,79.75
2010-03-30,81.92
2010-03-31,82.14
2010-04-01,83.45
2010-04-05,84.53
2010-04-06,86.36
2010-04-07,86.54
2010-04-08,85.64
2010-04-09,85.17
2010-04-12,84.6
2010-04-13,84.07
2010-04-14,83.8
2010-04-15,85.62
2010-04-16,85.25
2010-04-19,82.97
2010-04-20,81.52
2010-04-21,82.98
2010-04-22,82.78
2010-04-23,82.89
2010-04-26,84.34
2010-04-27,84.2
2010-04-28,82.43
2010-04-29,83.22
2010-04-30,85.17
2010-05-03,86.07
2010-05-04,86.19
2010-05-05,82.73
2010-05-06,80
2010-05-07,77.18
2010-05-10,75.1
2010-05-11,76.89
2010-05-12,76.37
2010-05-13,75.65
2010-05-14,74.38
2010-05-17,71.61
2010-05-18,70.08
2010-05-19,69.38
2010-05-20,69.91
2010-05-21,68.28
2010-05-24,68.03
2010-05-25,68.23
2010-05-26,64.78
2010-05-27,71.52
2010-05-28,74.56
2010-06-01,74
2010-06-02,72.7
2010-06-03,72.88
2010-06-04,74.62
2010-06-07,71.43
2010-06-08,71.55
2010-06-09,71.88
2010-06-10,74.38
2010-06-11,75.48
2010-06-14,73.89
2010-06-15,74.99
2010-06-16,76.84
2010-06-17,77.67
2010-06-18,76.82
2010-06-21,77.18
2010-06-22,77.84
2010-06-23,77.15
2010-06-24,75.9
2010-06-25,75.96
2010-06-28,78.45
2010-06-29,78.26
2010-06-30,75.93
2010-07-01,75.59
2010-07-02,72.95
2010-07-06,72.06
2010-07-07,71.96
2010-07-08,74.05
2010-07-09,75.46
2010-07-12,76.08
2010-07-13,74.93
2010-07-14,77.16
2010-07-15,77.02
2010-07-16,76.67
2010-07-19,75.96
2010-07-20,76.53
2010-07-21,77.32
2010-07-22,76.27
2010-07-23,79.01
2010-07-26,78.68
2010-07-27,78.93
2010-07-28,77.46
2010-07-29,77.06
2010-07-30,78.3
2010-08-02,78.85
2010-08-03,81.25
2010-08-04,82.52
2010-08-05,82.49
2010-08-06,82
2010-08-09,80.67
2010-08-10,81.46
2010-08-11,80.24
2010-08-12,78.09
2010-08-13,75.68
2010-08-16,75.39
2010-08-17,75.17
2010-08-18,75.76
2010-08-19,75.39
2010-08-20,74.45
2010-08-23,73.45
2010-08-24,72.71
2010-08-25,71.24
2010-08-26,72.07
2010-08-27,73.36
2010-08-30,75.17
2010-08-31,74.69
2010-09-01,71.93
2010-09-02,73.97
2010-09-03,74.99
2010-09-07,74.52
2010-09-08,73.98
2010-09-09,74.65
2010-09-10,74.25
2010-09-13,76.4
2010-09-14,77.17
2010-09-15,76.78
2010-09-16,75.92
2010-09-17,74.58
2010-09-20,73.63
2010-09-21,74.81
2010-09-22,72.96
2010-09-23,72.98
2010-09-24,73.4
2010-09-27,74.63
2010-09-28,76.51
2010-09-29,76.15
2010-09-30,77.85
2010-10-01,79.95
2010-10-04,81.57
2010-10-05,81.43
2010-10-06,82.83
2010-10-07,83.21
2010-10-08,81.34
2010-10-11,82.66
2010-10-12,82.18
2010-10-13,81.67
2010-10-14,83.03
2010-10-15,82.71
2010-10-18,81.23
2010-10-19,83.06
2010-10-20,79.57
2010-10-21,81.93
2010-10-22,80.03
2010-10-25,81.15
2010-10-26,82
2010-10-27,82.6
2010-10-28,81.9
2010-10-29,82.2
2010-11-01,81.45
2010-11-02,82.94
2010-11-03,83.91
2010-11-04,84.45
2010-11-05,86.49
2010-11-08,86.85
2010-11-09,87.07
2010-11-10,87.04
2010-11-11,87.77
2010-11-12,87.77
2010-11-15,84.89
2010-11-16,84.88
2010-11-17,82.33
2010-11-18,80.43
2010-11-19,81.88
2010-11-22,81.65
2010-11-23,81.24
2010-11-24,80.79
2010-11-26,83.21
2010-11-29,83.87
2010-11-30,85.73
2010-12-01,84.12
2010-12-02,86.75
2010-12-03,87.98
2010-12-06,89.18
2010-12-07,89.33
2010-12-08,88.69
2010-12-09,88.3
2010-12-10,88.35
2010-12-13,87.81
2010-12-14,88.62
2010-12-15,88.33
2010-12-16,88.66
2010-12-17,87.71
2010-12-20,88.02
2010-12-21,88.68
2010-12-22,89.3
2010-12-23,89.83
2010-12-27,90.84
2010-12-28,90.99
2010-12-29,91.48
2010-12-30,91.13
2010-12-31,89.85
2011-01-03,91.38
