날짜,종가
2010-01-01,10548.51
2010-01-04,10428.05
2010-01-05,10583.96
2010-01-06,10572.02
2010-01-07,10573.68
2010-01-08,10606.86
2010-01-11,10618.19
2010-01-12,10663.99
2010-01-13,10627.26
2010-01-14,10680.77
2010-01-15,10710.55
2010-01-19,10609.65
2010-01-20,10725.43
2010-01-21,10603.15
2010-01-22,10389.88
2010-01-25,10172.98
2010-01-26,10196.86
2010-01-27,10194.29
2010-01-28,10236.16
2010-01-29,10120.46
2010-02-01,10067.33
2010-02-02,10185.53
2010-02-03,10296.85
2010-02-04,10270.55
2010-02-05,10002.18
2010-02-08,10012.23
2010-02-09,9908.39
2010-02-10,10058.64
2010-02-11,10038.38
2010-02-12,10144.19
2010-02-16,10099.14
2010-02-17,10268.81
2010-02-18,10309.24
2010-02-19,10392.9
2010-02-22,10402.35
2010-02-23,10383.38
2010-02-24,10282.41
2010-02-25,10374.16
2010-02-26,10321.03
2010-03-01,10325.26
2010-03-02,10403.79
2010-03-03,10405.98
2010-03-04,10396.76
2010-03-05,10444.14
2010-03-08,10566.2
2010-03-09,10552.52
2010-03-10,10564.38
2010-03-11,10567.33
2010-03-12,10611.84
2010-03-15,10624.69
2010-03-16,10642.15
2010-03-17,10685.98
2010-03-18,10733.67
2010-03-19,10779.17
2010-03-22,10741.98
2010-03-23,10785.89
2010-03-24,10888.83
2010-03-25,10836.15
2010-03-26,10841.21
2010-03-29,10850.36
2010-03-30,10895.86
2010-03-31,10907.42
2010-04-01,10856.63
2010-04-05,10927.07
2010-04-06,10973.55
2010-04-07,10969.99
2010-04-08,10897.52
2010-04-09,10927.07
2010-04-12,10997.35
2010-04-13,11005.97
2010-04-14,11019.42
2010-04-15,11123.11
2010-04-16,11144.57
2010-04-19,11018.66
2010-04-20,11092.05
2010-04-21,11117.06
2010-04-22,11124.92
2010-04-23,11134.29
2010-04-26,11204.28
2010-04-27,11205.03
2010-04-28,10991.99
2010-04-29,11045.27
2010-04-30,11167.32
2010-05-03,11008.61
2010-05-04,11151.83
2010-05-05,10926.77
2010-05-06,10868.12
2010-05-07,10520.32
2010-05-10,10380.43
2010-05-11,10785.14
2010-05-12,10748.26
2010-05-13,10896.91
2010-05-14,10782.95
2010-05-17,10620.16
2010-05-18,10625.83
2010-05-19,10510.95
2010-05-20,10444.37
2010-05-21,10068.01
2010-05-24,10193.39
2010-05-25,10066.57
2010-05-26,10043.75
2010-05-27,9974.45
2010-05-28,10258.99
2010-06-01,10136.63
2010-06-02,10024.02
2010-06-03,10249.54
2010-06-04,10255.28
2010-06-07,9931.97
2010-06-08,9816.49
2010-06-09,9939.98
2010-06-10,9899.25
2010-06-11,10172.53
2010-06-14,10211.07
2010-06-15,10190.89
2010-06-16,10404.77
2010-06-17,10409.46
2010-06-18,10434.17
2010-06-21,10450.64
2010-06-22,10442.41
2010-06-23,10293.52
2010-06-24,10298.44
2010-06-25,10152.8
2010-06-28,10143.81
2010-06-29,10138.52
2010-06-30,9870.3
2010-07-01,9774.02
2010-07-02,9732.53
2010-07-06,9686.48
2010-07-07,9743.62
2010-07-08,10018.28
2010-07-09,10138.99
2010-07-12,10198.03
2010-07-13,10216.27
2010-07-14,10363.02
2010-07-15,10366.72
2010-07-16,10359.31
2010-07-19,10097.9
2010-07-20,10154.43
2010-07-21,10229.96
2010-07-22,10120.53
2010-07-23,10322.3
2010-07-26,10424.62
2010-07-27,10525.43
2010-07-28,10537.69
2010-07-29,10497.88
2010-07-30,10467.16
2010-08-02,10465.94
2010-08-03,10674.38
2010-08-04,10636.38
2010-08-05,10680.43
2010-08-06,10674.98
2010-08-09,10653.56
2010-08-10,10698.75
2010-08-11,10644.25
2010-08-12,10378.83
2010-08-13,10319.95
2010-08-16,10303.15
2010-08-17,10302.01
2010-08-18,10405.85
2010-08-19,10415.54
2010-08-20,10271.21
2010-08-23,10213.62
2010-08-24,10174.41
2010-08-25,10040.45
2010-08-26,10060.06
2010-08-27,9985.81
2010-08-30,10150.65
2010-08-31,10009.73
2010-09-01,10014.72
2010-09-02,10269.47
2010-09-03,10320.1
2010-09-07,10447.93
2010-09-08,10340.69
2010-09-09,10387.01
2010-09-10,10415.24
2010-09-13,10462.77
2010-09-14,10544.13
2010-09-15,10526.49
2010-09-16,10572.73
2010-09-17,10594.83
2010-09-20,10607.85
2010-09-21,10753.62
2010-09-22,10761.03
2010-09-23,10739.31
2010-09-24,10662.42
2010-09-27,10860.26
2010-09-28,10812.04
2010-09-29,10858.14
2010-09-30,10835.28
2010-10-01,10788.05
2010-10-04,10829.68
2010-10-05,10751.27
2010-10-06,10944.72
2010-10-07,10967.65
2010-10-08,10948.58
2010-10-11,11006.48
2010-10-12,11010.34
2010-10-13,11020.4
2010-10-14,11096.08
2010-10-15,11096.92
2010-10-18,11062.78
2010-10-19,11143.69
2010-10-20,10978.62
2010-10-21,11107.97
2010-10-22,11146.57
2010-10-25,11132.56
2010-10-26,11164.05
2010-10-27,11169.46
2010-10-28,11126.28
2010-10-29,11113.95
2010-11-01,11118.4
2010-11-02,11124.62
2010-11-03,11188.72
2010-11-04,11215.13
2010-11-05,11434.84
2010-11-08,11444.08
2010-11-09,11406.84
2010-11-10,11346.75
2010-11-11,11357.04
2010-11-12,11283.1
2010-11-15,11192.58
2010-11-16,11201.97
2010-11-17,11023.5
2010-11-18,11007.88
2010-11-19,11181.23
2010-11-22,11203.55
2010-11-23,11178.58
2010-11-24,11036.37
2010-11-26,11187.28
2010-11-29,11092
2010-11-30,11052.49
2010-12-01,11006.02
2010-12-02,11255.78
2010-12-03,11362.41
2010-12-06,11382.09
2010-12-07,11362.19
2010-12-08,11359.16
2010-12-09,11372.48
2010-12-10,11370.06
2010-12-13,11410.32
2010-12-14,11428.56
2010-12-15,11476.54
2010-12-16,11457.47
2010-12-17,11499.25
2010-12-20,11491.91
2010-12-21,11478.13
2010-12-22,11533.16
2010-12-23,11559.49
2010-12-27,11573.49
2010-12-28,11555.03
2010-12-29,11575.54
2010-12-30,11585.38
2010-12-31,11569.71
2011-01-03,11577.51
2011-01-04,11670.75
2011-01-05,11691.18
2011-01-06,11722.89
2011-01-07,11697.31
2011-01-10,11674.76
2011-01-11,11637.45
2011-01-12,11671.88
2011-01-13,11755.44
2011-01-14,11731.9
2011-01-18,11787.38
2011-01-19,11837.93
2011-01-20,11825.29
2011-01-21,11822.8
2011-01-24,11871.84
2011-01-25,11980.52
2011-01-26,11977.19
2011-01-27,11985.44
2011-01-28,11989.83
2011-01-31,11823.7
2011-02-01,11891.93
2011-02-02,12040.16
2011-02-03,12041.97
2011-02-04,12062.26
2011-02-07,12092.15
2011-02-08,12161.63
2011-02-09,12233.15
2011-02-10,12239.89
2011-02-11,12229.29
2011-02-14,12273.26
2011-02-15,12268.19
2011-02-16,12226.64
2011-02-18,12288.17
2011-02-22,12391.25
2011-02-23,12212.79
2011-02-24,12105.78
2011-02-25,12068.5
2011-02-28,12130.45
2011-03-01,12226.34
2011-03-02,12058.02
2011-03-03,12066.8
2011-03-04,12258.2
2011-03-07,12169.88
2011-03-08,12090.03
2011-03-09,12214.38
2011-03-10,12213.09
2011-03-11,11984.61
2011-03-14,12044.4
2011-03-15,11993.16
2011-03-16,11855.42
2011-03-17,11613.3
2011-03-18,11774.59
2011-03-21,11858.52
2011-03-22,12036.53
2011-03-23,12018.63
2011-03-24,12086.02
2011-03-25,12170.56
2011-03-28,12220.59
2011-03-29,12197.88
2011-03-30,12279.01
2011-03-31,12350.61
2011-04-01,12319.73
2011-04-04,12376.72
2011-04-05,12400.03
2011-04-06,12393.9
2011-04-07,12426.75
2011-04-08,12409.49
2011-04-11,12380.05
2011-04-12,12381.11
2011-04-13,12263.58
2011-04-14,12270.99
2011-04-15,12285.15
2011-04-18,12341.83
2011-04-19,12201.59
2011-04-20,12266.75
2011-04-21,12453.54
2011-04-25,12505.99
