항목명1,일본엔/달러,달러/유로,달러/영국파운드,달러/엔
2010-01-01,,,,
2010-01-02,,,,
2010-01-03,,,,
2010-01-04,92.925,1.4332,1.6131,0.010761367
2010-01-05,92.425,1.4409,1.6091,0.010819583
2010-01-06,91.665,1.4366,1.5987,0.010909289
2010-01-07,92.36,1.4404,1.6012,0.010827198
2010-01-08,93.505,1.4308,1.5926,0.010694615
2010-01-09,,,,
2010-01-10,,,,
2010-01-11,92.56,1.4418,1.6067,0.010803803
2010-01-12,92.045,1.4516,1.6115,0.010864251
2010-01-13,91.085,1.4489,1.6163,0.010978756
2010-01-14,91.425,1.451,1.628,0.010937927
2010-01-15,91.21,1.4501,1.6343,0.01096371
2010-01-16,,,,
2010-01-17,,,,
2010-01-18,90.815,1.4357,1.6272,0.011011397
2010-01-19,90.65,1.4409,1.6356,0.01103144
2010-01-20,91.095,1.4279,1.6362,0.010977551
2010-01-21,91.25,1.4107,1.6294,0.010958904
2010-01-22,90.23,1.4073,1.618,0.011082788
2010-01-23,,,,
2010-01-24,,,,
2010-01-25,90.02,1.4156,1.6115,0.011108643
2010-01-26,90.285,1.4148,1.6246,0.011076037
2010-01-27,89.605,1.4071,1.6136,0.011160092
2010-01-28,89.94,1.4031,1.6173,0.011118523
2010-01-29,89.86,1.3961,1.6125,0.011128422
2010-01-30,,,,
2010-01-31,,,,
2010-02-01,90.17,1.3865,1.5938,0.011090163
2010-02-02,90.72,1.3932,1.5963,0.011022928
2010-02-03,90.4,1.3966,1.5976,0.011061947
2010-02-04,90.925,1.3891,1.5915,0.010998075
2010-02-05,89.275,1.373,1.5765,0.011201344
2010-02-06,,,,
2010-02-07,,,,
2010-02-08,89.22,1.3663,1.5603,0.011208249
2010-02-09,89.245,1.3655,1.5593,0.01120511
2010-02-10,89.78,1.3793,1.5706,0.011138338
2010-02-11,89.96,1.3742,1.5598,0.011116052
2010-02-12,89.735,1.3689,1.5693,0.011143924
2010-02-13,,,,
2010-02-14,,,,
2010-02-15,,,,
2010-02-16,90.035,1.3597,1.5661,0.011106792
