항목명1,달러/유로,달러/영국파운드
2010-01-01,1.4339,1.6082
2010-01-02,,
2010-01-03,,
2010-01-04,1.4332,1.6131
2010-01-05,1.4409,1.6091
2010-01-06,1.4366,1.5987
2010-01-07,1.4404,1.6012
2010-01-08,1.4308,1.5926
2010-01-09,,
2010-01-10,,
2010-01-11,1.4418,1.6067
2010-01-12,1.4516,1.6115
2010-01-13,1.4489,1.6163
2010-01-14,1.451,1.628
2010-01-15,1.4501,1.6343
2010-01-16,,
2010-01-17,,
2010-01-18,1.4357,1.6272
2010-01-19,1.4409,1.6356
2010-01-20,1.4279,1.6362
2010-01-21,1.4107,1.6294
2010-01-22,1.4073,1.618
2010-01-23,,
2010-01-24,,
2010-01-25,1.4156,1.6115
2010-01-26,1.4148,1.6246
2010-01-27,1.4071,1.6136
2010-01-28,1.4031,1.6173
2010-01-29,1.3961,1.6125
2010-01-30,,
2010-01-31,,
2010-02-01,1.3865,1.5938
2010-02-02,1.3932,1.5963
2010-02-03,1.3966,1.5976
2010-02-04,1.3891,1.5915
2010-02-05,1.373,1.5765
2010-02-06,,
2010-02-07,,
2010-02-08,1.3663,1.5603
2010-02-09,1.3655,1.5593
2010-02-10,1.3793,1.5706
2010-02-11,1.3742,1.5598
2010-02-12,1.3689,1.5693
2010-02-13,,
2010-02-14,,
2010-02-15,,
2010-02-16,1.3597,1.5661
2010-02-17,1.3763,1.5784
2010-02-18,1.3603,1.5684
2010-02-19,1.3478,1.5468
2010-02-20,,
2010-02-21,,
2010-02-22,1.3604,1.5434
2010-02-23,1.3601,1.5482
2010-02-24,1.3516,1.5439
2010-02-25,1.3543,1.5411
2010-02-26,1.3546,1.5265
2010-02-27,,
2010-02-28,,
2010-03-01,,
2010-03-02,1.3567,1.4994
2010-03-03,1.3612,1.4966
2010-03-04,1.3706,1.5106
2010-03-05,1.3575,1.503
2010-03-06,,
2010-03-07,,
2010-03-08,1.3645,1.5167
2010-03-09,1.3622,1.5044
2010-03-10,1.3605,1.5007
2010-03-11,1.3652,1.4977
2010-03-12,1.3686,1.5086
2010-03-13,,
2010-03-14,,
2010-03-15,1.3763,1.518
2010-03-16,1.3677,1.505
2010-03-17,1.3765,1.5237
2010-03-18,1.3734,1.532
2010-03-19,1.3612,1.5248
2010-03-20,,
2010-03-21,,
2010-03-22,1.352,1.4994
2010-03-23,1.3561,1.5107
2010-03-24,1.3483,1.5025
2010-03-25,1.3336,1.4893
2010-03-26,1.3279,1.4809
2010-03-27,,
2010-03-28,,
2010-03-29,1.3441,1.4916
2010-03-30,1.3485,1.4984
2010-03-31,1.3426,1.5078
2010-04-01,1.3516,1.5203
2010-04-02,1.3583,1.5289
2010-04-03,,
2010-04-04,,
2010-04-05,1.3497,1.5268
2010-04-06,1.3492,1.53
2010-04-07,1.3403,1.527
2010-04-08,1.3334,1.5231
2010-04-09,1.3359,1.5278
2010-04-10,,
2010-04-11,,
2010-04-12,1.3659,1.5442
2010-04-13,1.3591,1.5364
2010-04-14,1.3615,1.5388
2010-04-15,1.3655,1.5469
2010-04-16,1.3573,1.5465
2010-04-17,,
2010-04-18,,
2010-04-19,1.3492,1.5306
2010-04-20,1.3492,1.5341
2010-04-21,1.3424,1.5356
2010-04-22,1.3387,1.5409
2010-04-23,1.3219,1.5335
2010-04-24,,
2010-04-25,,
2010-04-26,1.3367,1.5383
2010-04-27,1.3413,1.5482
2010-04-28,1.3176,1.5249
2010-04-29,1.3215,1.5205
2010-04-30,1.3261,1.5352
2010-05-01,,
2010-05-02,,
2010-05-03,1.332,1.531
2010-05-04,1.3196,1.5246
2010-05-05,,
2010-05-06,1.2819,1.5099
2010-05-07,1.2627,1.485
2010-05-08,,
2010-05-09,,
2010-05-10,1.288,1.4789
2010-05-11,1.2764,1.4843
2010-05-12,1.2636,1.4931
2010-05-13,1.263,1.4836
2010-05-14,1.2535,1.4609
2010-05-15,,
2010-05-16,,
2010-05-17,1.2366,1.4526
2010-05-18,1.2382,1.4468
2010-05-19,1.2172,1.4286
2010-05-20,1.2392,1.4419
2010-05-21,,
2010-05-22,,
2010-05-23,,
2010-05-24,1.254,1.4471
2010-05-25,1.2344,1.4405
2010-05-26,1.2344,1.4402
2010-05-27,1.2171,1.4383
2010-05-28,1.2354,1.4561
2010-05-29,,
2010-05-30,,
2010-05-31,1.2283,1.4455
2010-06-01,1.2284,1.4524
2010-06-02,,
2010-06-03,1.2231,1.4636
2010-06-04,1.2168,1.4634
2010-06-05,,
2010-06-06,,
2010-06-07,1.1955,1.4442
2010-06-08,1.1921,1.4469
2010-06-09,1.1969,1.4447
2010-06-10,1.199,1.4536
2010-06-11,1.2107,1.4708
2010-06-12,,
2010-06-13,,
2010-06-14,1.2191,1.4597
2010-06-15,1.2214,1.4734
2010-06-16,1.2316,1.4789
2010-06-17,1.2313,1.4736
2010-06-18,1.2384,1.4818
2010-06-19,,
2010-06-20,,
2010-06-21,1.2407,1.4833
2010-06-22,1.232,1.4761
2010-06-23,1.2275,1.4818
2010-06-24,1.2316,1.4964
2010-06-25,1.2335,1.4931
2010-06-26,,
2010-06-27,,
2010-06-28,1.2378,1.5036
2010-06-29,1.2273,1.5096
2010-06-30,1.219,1.5062
2010-07-01,1.2225,1.4945
2010-07-02,1.2508,1.5162
2010-07-03,,
2010-07-04,,
2010-07-05,1.2553,1.519
2010-07-06,1.2531,1.513
2010-07-07,1.2615,1.5139
2010-07-08,1.263,1.5178
2010-07-09,1.269,1.5152
2010-07-10,,
2010-07-11,,
2010-07-12,1.2643,1.5064
2010-07-13,1.2588,1.5017
2010-07-14,1.2711,1.5184
2010-07-15,1.2739,1.5262
