항목명1,일본엔/달러,달러/엔
2010-01-01,92.46,0.010815488
2010-01-02,,
2010-01-03,,
2010-01-04,92.925,0.010761367
2010-01-05,92.425,0.010819583
2010-01-06,91.665,0.010909289
2010-01-07,92.36,0.010827198
2010-01-08,93.505,0.010694615
2010-01-09,,
2010-01-10,,
2010-01-11,92.56,0.010803803
2010-01-12,92.045,0.010864251
2010-01-13,91.085,0.010978756
2010-01-14,91.425,0.010937927
2010-01-15,91.21,0.01096371
2010-01-16,,
2010-01-17,,
2010-01-18,90.815,0.011011397
2010-01-19,90.65,0.01103144
2010-01-20,91.095,0.010977551
2010-01-21,91.25,0.010958904
2010-01-22,90.23,0.011082788
2010-01-23,,
2010-01-24,,
2010-01-25,90.02,0.011108643
2010-01-26,90.285,0.011076037
2010-01-27,89.605,0.011160092
2010-01-28,89.94,0.011118523
2010-01-29,89.86,0.011128422
2010-01-30,,
2010-01-31,,
2010-02-01,90.17,0.011090163
2010-02-02,90.72,0.011022928
2010-02-03,90.4,0.011061947
2010-02-04,90.925,0.010998075
2010-02-05,89.275,0.011201344
2010-02-06,,
2010-02-07,,
2010-02-08,89.22,0.011208249
2010-02-09,89.245,0.01120511
2010-02-10,89.78,0.011138338
2010-02-11,89.96,0.011116052
2010-02-12,89.735,0.011143924
2010-02-13,,
2010-02-14,,
2010-02-15,,
2010-02-16,90.035,0.011106792
2010-02-17,90.255,0.011079719
2010-02-18,91.2,0.010964912
2010-02-19,92.06,0.010862481
2010-02-20,,
2010-02-21,,
2010-02-22,91.675,0.010908099
2010-02-23,91.225,0.010961907
2010-02-24,90.225,0.011083403
2010-02-25,90.175,0.011089548
2010-02-26,89.155,0.011216421
2010-02-27,,
2010-02-28,,
2010-03-01,,
2010-03-02,89.165,0.011215163
2010-03-03,88.78,0.011263798
2010-03-04,88.495,0.011300073
2010-03-05,89.145,0.011217679
2010-03-06,,
2010-03-07,,
2010-03-08,90.48,0.011052166
2010-03-09,90.265,0.011078491
2010-03-10,89.93,0.01111976
2010-03-11,90.56,0.011042403
2010-03-12,90.665,0.011029615
2010-03-13,,
2010-03-14,,
2010-03-15,90.625,0.011034483
2010-03-16,90.46,0.01105461
2010-03-17,90.355,0.011067456
2010-03-18,90.38,0.011064395
2010-03-19,90.42,0.0110595
2010-03-20,,
2010-03-21,,
2010-03-22,90.485,0.011051556
2010-03-23,90.225,0.011083403
2010-03-24,90.42,0.0110595
2010-03-25,92.085,0.010859532
2010-03-26,92.655,0.010792726
2010-03-27,,
2010-03-28,,
2010-03-29,92.395,0.010823096
2010-03-30,92.5,0.010810811
2010-03-31,92.865,0.01076832
2010-04-01,93.605,0.01068319
2010-04-02,93.865,0.010653598
2010-04-03,,
2010-04-04,,
2010-04-05,94.57,0.010574178
2010-04-06,94.365,0.010597149
2010-04-07,93.725,0.010669512
2010-04-08,93.32,0.010715817
2010-04-09,93.44,0.010702055
2010-04-10,,
2010-04-11,,
2010-04-12,93.13,0.010737679
2010-04-13,93.165,0.010733645
2010-04-14,93.19,0.010730765
2010-04-15,93.32,0.010715817
2010-04-16,93.045,0.010747488
2010-04-17,,
2010-04-18,,
2010-04-19,92.04,0.010864841
2010-04-20,92.465,0.010814903
2010-04-21,93.14,0.010736526
2010-04-22,93.035,0.010748643
2010-04-23,93.615,0.010682049
2010-04-24,,
