DATE,GOLDAMGBD228NLBM
2010-01-01,1092.5
2010-01-04,1104
2010-01-05,1113
2010-01-06,1125.25
2010-01-07,1125
2010-01-08,1130.75
2010-01-11,1121.75
2010-01-12,1158
2010-01-13,1152.75
2010-01-14,1132.75
2010-01-15,1137.5
2010-01-18,1132
2010-01-19,1135.75
2010-01-20,1134
2010-01-21,1129
2010-01-22,1104
2010-01-25,1096.5
2010-01-26,1103.5
2010-01-27,1090.75
2010-01-28,1094.75
2010-01-29,1091.75
2010-02-01,1082.75
2010-02-02,1082
2010-02-03,1114
2010-02-04,1118.5
2010-02-05,1102.5
2010-02-08,1052.25
2010-02-09,1070
2010-02-10,1068
2010-02-11,1075.5
2010-02-12,1079.5
2010-02-15,1078.25
2010-02-16,1099.5
2010-02-17,1115.25
2010-02-18,1118.25
2010-02-19,1105.5
2010-02-22,1107
2010-02-23,1119.75
2010-02-24,1112
2010-02-25,1093
2010-02-26,1092.75
2010-03-01,1112.5
2010-03-02,1117.25
2010-03-03,1116
2010-03-04,1136.25
2010-03-05,1136.25
2010-03-08,1135
2010-03-09,1134
2010-03-10,1120
2010-03-11,1124.5
2010-03-12,1106
2010-03-15,1118.75
2010-03-16,1104
2010-03-17,1113.25
2010-03-18,1131.25
2010-03-19,1122.75
2010-03-22,1121.5
2010-03-23,1104.25
2010-03-24,1100.75
2010-03-25,1094
2010-03-26,1093.5
2010-03-29,1098
2010-03-30,1111.25
2010-03-31,1109.75
2010-04-01,1109.5
2010-04-06,1116
2010-04-07,1124
2010-04-08,1133.25
2010-04-09,1146.5
2010-04-12,1156
2010-04-13,1163.5
2010-04-14,1149.25
2010-04-15,1159
2010-04-16,1151.25
2010-04-19,1157
2010-04-20,1127.5
2010-04-21,1142.5
2010-04-22,1143.75
2010-04-23,1144.25
2010-04-26,1140
2010-04-27,1154
2010-04-28,1152.25
2010-04-29,1164.25
2010-04-30,1170
2010-05-04,1175.25
2010-05-05,1184.25
2010-05-06,1172
2010-05-07,1178
2010-05-10,1199.6
2010-05-11,1188.25
2010-05-12,1209
2010-05-13,1241.25
2010-05-14,1235
2010-05-17,1238.75
2010-05-18,1230.25
2010-05-19,1215
2010-05-20,1209.5
2010-05-21,1187.25
2010-05-24,1183.5
2010-05-25,1183.75
2010-05-26,1189.5
2010-05-27,1212.5
2010-05-28,1210.75
2010-06-01,1214
2010-06-02,1219.75
2010-06-03,1221
2010-06-04,1219.75
2010-06-07,1203.5
2010-06-08,1212.4
2010-06-09,1248
2010-06-10,1235
2010-06-11,1220
2010-06-14,1220.5
2010-06-15,1229.5
2010-06-16,1223
2010-06-17,1235.5
2010-06-18,1234.5
2010-06-21,1244
2010-06-22,1259.5
2010-06-23,1235.25
2010-06-24,1243
2010-06-25,1233.25
2010-06-28,1242.5
2010-06-29,1256
2010-06-30,1236
2010-07-01,1240.5
2010-07-02,1240
2010-07-05,1210.5
2010-07-06,1208.5
2010-07-07,1210.75
2010-07-08,1186
2010-07-09,1201.25
2010-07-12,1196.25
2010-07-13,1203.75
2010-07-14,1206.5
2010-07-15,1212.25
2010-07-16,1211.75
2010-07-19,1204.75
2010-07-20,1190.25
2010-07-21,1181.5
2010-07-22,1191.25
2010-07-23,1187
2010-07-26,1198.75
2010-07-27,1189
2010-07-28,1184
2010-07-29,1164
2010-07-30,1166
2010-08-02,1168
2010-08-03,1178
2010-08-04,1184
2010-08-05,1194.5
2010-08-06,1195.5
2010-08-09,1194.5
2010-08-10,1206
2010-08-11,1196.75
2010-08-12,1198
2010-08-13,1200
2010-08-16,1215
2010-08-17,1222
2010-08-18,1226.25
2010-08-19,1223
2010-08-20,1228
2010-08-23,1230.5
2010-08-24,1227
2010-08-25,1218
2010-08-26,1237.5
2010-08-27,1240.25
2010-08-31,1234.5
2010-09-01,1233.5
2010-09-02,1250
2010-09-03,1247.75
2010-09-06,1252
2010-09-07,1249.5
2010-09-08,1247.25
2010-09-09,1258
2010-09-10,1253.5
2010-09-13,1248.75
2010-09-14,1243
2010-09-15,1253.25
2010-09-16,1270.4
2010-09-17,1271.25
2010-09-20,1281.5
2010-09-21,1280.25
2010-09-22,1278.75
2010-09-23,1291.75
2010-09-24,1291.5
2010-09-27,1298
2010-09-28,1298.25
2010-09-29,1289
2010-09-30,1307.5
2010-10-01,1311
2010-10-04,1313
2010-10-05,1316
2010-10-06,1325.75
2010-10-07,1347
2010-10-08,1359.5
2010-10-11,1330.5
2010-10-12,1348.5
2010-10-13,1343.5
2010-10-14,1358.5
2010-10-15,1380.75
2010-10-18,1377.25
2010-10-19,1359.75
2010-10-20,1367.75
2010-10-21,1340.5
2010-10-22,1345.25
2010-10-25,1319
2010-10-26,1345
2010-10-27,1334
2010-10-28,1332.25
2010-10-29,1326.5
2010-11-01,1336.75
2010-11-02,1361.5
2010-11-03,1358
2010-11-04,1358.5
2010-11-05,1361
2010-11-08,1384.25
2010-11-09,1390
2010-11-10,1416.25
2010-11-11,1402
2010-11-12,1413
2010-11-15,1387
2010-11-16,1367
2010-11-17,1363.25
2010-11-18,1336.5
2010-11-19,1356.75
2010-11-22,1357.5
2010-11-23,1357.5
2010-11-24,1361
2010-11-25,1376.25
2010-11-26,1370.5
2010-11-29,1366.5
2010-11-30,1360
2010-12-01,1375
2010-12-02,1391.5
2010-12-03,1390
2010-12-06,1391.75
2010-12-07,1411.5
2010-12-08,1426
2010-12-09,1395
2010-12-10,1382
2010-12-13,1390
2010-12-14,1388.25
2010-12-15,1405
2010-12-16,1388.25
2010-12-17,1384
2010-12-20,1374.75
2010-12-21,1381
2010-12-22,1386
2010-12-23,1389
2010-12-24,1384
2010-12-29,1380.5
2010-12-30,1403.5
2010-12-31,1411.5
2011-01-04,1410.25
2011-01-05,1405.5
2011-01-06,1382.75
2011-01-07,1376
2011-01-10,1358
