적용일자,총수익지수,전일대비,순가격지수,전일대비
2010-01-01,121.68,-0.12,100.58,-0.17
2010-01-04,121.56,-0.12,100.47,-0.11
2010-01-05,121.88,0.32,100.73,0.26
2010-01-06,121.81,-0.07,100.65,-0.08
2010-01-07,122.21,0.4,100.97,0.32
2010-01-08,122.12,-0.09,100.86,-0.11
2010-01-11,122.24,0.12,100.95,0.09
2010-01-12,122.44,0.2,101.1,0.15
2010-01-13,122.59,0.15,101.21,0.11
2010-01-14,122.56,-0.03,101.18,-0.03
2010-01-15,122.46,-0.1,101.05,-0.13
2010-01-18,122.35,-0.11,100.95,-0.1
2010-01-19,122.51,0.16,101.07,0.12
2010-01-20,122.59,0.08,101.12,0.05
2010-01-21,122.67,0.08,101.18,0.06
2010-01-22,122.73,0.06,101.19,0.01
2010-01-25,122.66,-0.07,101.12,-0.07
2010-01-26,122.81,0.15,101.23,0.11
2010-01-27,122.75,-0.06,101.17,-0.06
2010-01-28,122.51,-0.24,100.95,-0.22
2010-01-29,122.71,0.2,101.08,0.13
2010-02-01,122.7,-0.01,101.06,-0.02
2010-02-02,122.73,0.03,101.07,0.01
2010-02-03,122.77,0.04,101.09,0.02
2010-02-04,122.79,0.02,101.09,0
2010-02-05,123.01,0.22,101.24,0.15
2010-02-08,123.01,0,101.23,-0.01
2010-02-09,122.96,-0.05,101.18,-0.05
2010-02-10,122.92,-0.04,101.13,-0.05
2010-02-11,123.28,0.36,101.41,0.28
2010-02-12,123.46,0.18,101.51,0.1
2010-02-16,123.51,0.05,101.55,0.04
2010-02-17,123.45,-0.06,101.48,-0.07
2010-02-18,123.53,0.08,101.53,0.05
2010-02-19,123.36,-0.17,101.36,-0.17
2010-02-22,123.34,-0.02,101.33,-0.03
2010-02-23,123.41,0.07,101.37,0.04
2010-02-24,123.77,0.36,101.66,0.29
2010-02-25,124.06,0.29,101.89,0.23
2010-02-26,124.05,-0.01,101.83,-0.06
2010-03-02,124.06,0.01,101.82,-0.01
2010-03-03,124.21,0.15,101.94,0.12
2010-03-04,124.43,0.22,102.11,0.17
2010-03-05,124.52,0.09,102.14,0.03
2010-03-08,124.27,-0.25,101.92,-0.22
2010-03-09,124.47,0.2,102.08,0.16
2010-03-10,124.58,0.11,102.15,0.07
2010-03-11,125.08,0.5,102.55,0.4
2010-03-12,125.42,0.34,102.79,0.24
2010-03-15,125.31,-0.11,102.69,-0.1
2010-03-16,125.53,0.22,102.86,0.17
2010-03-17,125.81,0.28,103.08,0.22
2010-03-18,125.99,0.18,103.21,0.13
2010-03-19,126.05,0.06,103.22,0.01
2010-03-22,126.21,0.16,103.34,0.12
2010-03-23,125.89,-0.32,103.07,-0.27
2010-03-24,125.38,-0.51,102.63,-0.44
2010-03-25,125.66,0.28,102.85,0.22
2010-03-26,125.62,-0.04,102.79,-0.06
2010-03-29,125.55,-0.07,102.71,-0.08
2010-03-30,125.27,-0.28,102.47,-0.24
2010-03-31,125.32,0.05,102.5,0.03
2010-04-01,125.5,0.18,102.64,0.14
2010-04-02,125.6,0.1,102.68,0.04
2010-04-05,125.56,-0.04,102.63,-0.05
2010-04-06,125.62,0.06,102.67,0.04
2010-04-07,125.9,0.28,102.89,0.22
2010-04-08,126.2,0.3,103.13,0.24
2010-04-09,126.07,-0.13,102.98,-0.15
2010-04-12,125.79,-0.28,102.73,-0.25
2010-04-13,125.7,-0.09,102.64,-0.09
2010-04-14,125.63,-0.07,102.57,-0.07
2010-04-15,125.56,-0.07,102.51,-0.06
2010-04-16,125.73,0.17,102.61,0.1
2010-04-19,125.95,0.22,102.78,0.17
2010-04-20,125.98,0.03,102.79,0.01
2010-04-21,125.94,-0.04,102.74,-0.05
2010-04-22,126.04,0.1,102.81,0.07
2010-04-23,126.12,0.08,102.84,0.03
2010-04-26,126.2,0.08,102.9,0.06
2010-04-27,126.49,0.29,103.12,0.22
2010-04-28,126.68,0.19,103.27,0.15
2010-04-29,126.81,0.13,103.36,0.09
2010-04-30,126.76,-0.05,103.28,-0.08
2010-05-03,126.5,-0.26,103.05,-0.23
2010-05-04,126.56,0.06,103.07,0.02
2010-05-06,126.42,-0.14,102.95,-0.12
2010-05-07,126.3,-0.12,102.81,-0.14
2010-05-10,126.39,0.09,102.87,0.06
2010-05-11,126.61,0.22,103.04,0.17
2010-05-12,126.26,-0.35,102.74,-0.3
2010-05-13,126.07,-0.19,102.57,-0.17
2010-05-14,126.25,0.18,102.68,0.11
2010-05-17,126.04,-0.21,102.49,-0.19
2010-05-18,126.19,0.15,102.61,0.12
2010-05-19,126.16,-0.03,102.57,-0.04
2010-05-20,126.19,0.03,102.54,-0.03
2010-05-24,126.7,0.51,102.95,0.41
2010-05-25,126.91,0.21,103.11,0.16
2010-05-26,126.62,-0.29,102.86,-0.25
2010-05-27,126.79,0.17,102.98,0.12
2010-05-28,126.84,0.05,102.99,0.01
2010-05-31,126.92,0.08,103.05,0.06
2010-06-01,127.09,0.17,103.16,0.11
2010-06-03,127.06,-0.03,103.12,-0.04
2010-06-04,126.93,-0.13,102.98,-0.14
2010-06-07,127.13,0.2,103.13,0.15
2010-06-08,127.15,0.02,103.13,0
2010-06-09,127.22,0.07,103.17,0.04
2010-06-10,127.1,-0.12,103.06,-0.11
2010-06-11,126.83,-0.27,102.81,-0.25
2010-06-14,126.93,0.1,102.87,0.06
2010-06-15,126.92,-0.01,102.85,-0.02
2010-06-16,126.89,-0.03,102.82,-0.03
2010-06-17,126.94,0.05,102.85,0.03
2010-06-18,126.92,-0.02,102.8,-0.05
2010-06-21,126.58,-0.34,102.5,-0.3
2010-06-22,126.47,-0.11,102.4,-0.1
2010-06-23,126.43,-0.04,102.36,-0.04
2010-06-24,126.45,0.02,102.36,0
2010-06-25,126.49,0.04,102.35,-0.01
2010-06-28,126.61,0.12,102.44,0.09
2010-06-29,126.65,0.04,102.46,0.02
2010-06-30,126.86,0.21,102.62,0.16
2010-07-01,127.09,0.23,102.79,0.17
2010-07-02,127.14,0.05,102.8,0.01
2010-07-05,127.09,-0.05,102.74,-0.06
2010-07-06,127.18,0.09,102.81,0.07
2010-07-07,126.92,-0.26,102.58,-0.23
2010-07-08,126.77,-0.15,102.45,-0.13
2010-07-09,126.71,-0.06,102.36,-0.09
2010-07-12,126.73,0.02,102.36,0
2010-07-13,126.76,0.03,102.38,0.02
2010-07-14,126.73,-0.03,102.34,-0.04
2010-07-15,126.93,0.2,102.49,0.15
2010-07-16,127,0.07,102.5,0.01
2010-07-19,127.05,0.05,102.53,0.03
2010-07-20,127.09,0.04,102.56,0.03
2010-07-21,127.18,0.09,102.62,0.06
2010-07-22,127.35,0.17,102.75,0.13
2010-07-23,127.47,0.12,102.8,0.05
2010-07-26,127.38,-0.09,102.72,-0.08
2010-07-27,127.39,0.01,102.71,-0.01
2010-07-28,127.5,0.11,102.79,0.08
2010-07-29,127.64,0.14,102.9,0.11
2010-07-30,127.7,0.06,102.9,0
2010-08-02,127.57,-0.13,102.79,-0.11
2010-08-03,127.54,-0.03,102.75,-0.04
2010-08-04,127.73,0.19,102.89,0.14
2010-08-05,127.55,-0.18,102.73,-0.16
2010-08-06,127.48,-0.07,102.64,-0.09
2010-08-09,127.48,0,102.62,-0.02
2010-08-10,127.48,0,102.61,-0.01
2010-08-11,127.84,0.36,102.89,0.28
2010-08-12,128.07,0.23,103.06,0.17
2010-08-13,128.15,0.08,103.09,0.03
2010-08-16,128.25,0.1,103.17,0.08
2010-08-17,128.27,0.02,103.17,0
2010-08-18,128.4,0.13,103.26,0.09
2010-08-19,129.01,0.61,103.75,0.49
2010-08-20,129.09,0.08,103.77,0.02
2010-08-23,129.21,0.12,103.86,0.09
2010-08-24,129.36,0.15,103.97,0.11
2010-08-25,129.25,-0.11,103.87,-0.1
2010-08-26,129.66,0.41,104.19,0.32
2010-08-27,129.72,0.06,104.2,0.01
2010-08-30,129.67,-0.05,104.14,-0.06
2010-08-31,129.89,0.22,104.31,0.17
2010-09-01,129.79,-0.1,104.22,-0.09
2010-09-02,129.66,-0.13,104.1,-0.12
2010-09-03,129.64,-0.02,104.05,-0.05
2010-09-06,129.4,-0.24,103.84,-0.21
2010-09-07,129.59,0.19,103.98,0.14
2010-09-08,129.9,0.31,104.22,0.24
2010-09-09,130.63,0.73,104.81,0.59
2010-09-10,130.62,-0.01,104.76,-0.05
2010-09-13,130.57,-0.05,104.7,-0.06
2010-09-14,130.82,0.25,104.89,0.19
2010-09-15,130.71,-0.11,104.8,-0.09
2010-09-16,130.85,0.14,104.89,0.09
2010-09-17,130.64,-0.21,104.69,-0.2
2010-09-20,130.45,-0.19,104.49,-0.2
2010-09-24,130.83,0.38,104.76,0.27
2010-09-27,131.05,0.22,104.93,0.17
2010-09-28,131.22,0.17,105.06,0.13
2010-09-29,131.45,0.23,105.23,0.17
2010-09-30,131.48,0.03,105.24,0.01
2010-10-01,131.92,0.44,105.56,0.32
2010-10-04,131.89,-0.03,105.52,-0.04
2010-10-05,131.97,0.08,105.57,0.05
2010-10-06,131.97,0,105.57,0
2010-10-07,131.88,-0.09,105.48,-0.09
2010-10-08,131.94,0.06,105.49,0.01
2010-10-11,131.85,-0.09,105.41,-0.08
2010-10-12,132,0.15,105.52,0.11
2010-10-13,131.91,-0.09,105.44,-0.08
2010-10-14,132.63,0.72,106,0.56
2010-10-15,132.82,0.19,106.12,0.12
2010-10-18,132.73,-0.09,106.03,-0.09
2010-10-19,132.4,-0.33,105.76,-0.27
2010-10-20,132.01,-0.39,105.43,-0.33
2010-10-21,131.79,-0.22,105.24,-0.19
2010-10-22,131.86,0.07,105.26,0.02
2010-10-25,131.65,-0.21,105.08,-0.18
2010-10-26,131.52,-0.13,104.97,-0.11
2010-10-27,131.27,-0.25,104.76,-0.21
2010-10-28,131.66,0.39,105.05,0.29
2010-10-29,131.54,-0.12,104.92,-0.13
2010-11-01,131.18,-0.36,104.62,-0.3
2010-11-02,130.79,-0.39,104.3,-0.32
2010-11-03,130.98,0.19,104.43,0.13
2010-11-04,130.79,-0.19,104.27,-0.16
2010-11-05,130.38,-0.41,103.91,-0.36
2010-11-08,130.43,0.05,103.94,0.03
2010-11-09,130.43,0,103.93,-0.01
2010-11-10,130.52,0.09,103.98,0.05
2010-11-11,130.6,0.08,104.04,0.06
2010-11-12,130.57,-0.03,103.97,-0.07
2010-11-15,130.51,-0.06,103.92,-0.05
2010-11-16,131.07,0.56,104.35,0.43
2010-11-17,131.14,0.07,104.4,0.05
2010-11-18,131.23,0.09,104.46,0.06
2010-11-19,131.32,0.09,104.49,0.03
2010-11-22,131.2,-0.12,104.39,-0.1
2010-11-23,131.18,-0.02,104.36,-0.03
2010-11-24,131.19,0.01,104.36,0
2010-11-25,131.4,0.21,104.52,0.16
2010-11-26,131.28,-0.12,104.38,-0.14
2010-11-29,131.6,0.32,104.63,0.25
2010-11-30,131.91,0.31,104.87,0.24
2010-12-01,131.94,0.03,104.88,0.01
2010-12-02,131.91,-0.03,104.84,-0.04
2010-12-03,132.07,0.16,104.93,0.09
2010-12-06,132.04,-0.03,104.9,-0.03
2010-12-07,132.29,0.25,105.09,0.19
2010-12-08,131.8,-0.49,104.69,-0.4
2010-12-09,131.6,-0.2,104.51,-0.18
2010-12-10,131.75,0.15,104.6,0.09
2010-12-13,131.43,-0.32,104.33,-0.27
2010-12-14,131.23,-0.2,104.16,-0.17
2010-12-15,130.65,-0.58,103.69,-0.47
2010-12-16,131.01,0.36,103.97,0.28
2010-12-17,131.02,0.01,103.94,-0.03
2010-12-20,131.03,0.01,103.93,-0.01
2010-12-21,131.52,0.49,104.32,0.39
2010-12-22,131.81,0.29,104.53,0.21
2010-12-23,131.67,-0.14,104.41,-0.12
2010-12-24,131.52,-0.15,104.26,-0.15
2010-12-27,131.55,0.03,104.28,0.02
2010-12-28,131.36,-0.19,104.11,-0.17
2010-12-29,131.26,-0.1,104.02,-0.09
2010-12-30,131.5,0.24,104.17,0.15
2011-01-03,131.1,-0.4,103.83,-0.34
