날짜,종가
2020-10-05,24.56
2020-09-30,23.494
2020-09-29,24.445
2020-09-28,23.604
2020-09-27,23.08
2020-09-25,23.093
2020-09-24,23.196
2020-09-23,23.105
2020-09-22,24.523
2020-09-21,24.387
2020-09-20,26.885
2020-09-18,27.129
2020-09-17,27.1
2020-09-16,27.476
2020-09-15,27.464
2020-09-14,27.355
2020-09-13,26.973
2020-09-11,26.857
2020-09-10,27.291
2020-09-09,27.083
2020-09-08,26.991
2020-09-07,27.065
2020-09-06,27.043
2020-09-04,26.712
2020-09-03,26.875
2020-09-02,27.395
2020-09-01,28.645
2020-08-31,28.594
2020-08-30,28.227
2020-08-28,27.79
2020-08-27,27.198
2020-08-26,27.604
2020-08-25,26.426
2020-08-24,26.607
2020-08-23,26.66
2020-08-21,26.732
2020-08-20,27.147
2020-08-19,27.34
2020-08-18,28.075
2020-08-17,27.667
2020-08-16,26.227
2020-08-14,26.089
2020-08-13,27.718
2020-08-12,25.979
2020-08-11,26.049
2020-08-10,29.261
2020-08-09,28.25
2020-08-07,27.54
2020-08-06,28.4
2020-08-05,26.89
2020-08-04,26.028
2020-08-03,24.417
2020-08-02,24.75
2020-07-31,24.216
2020-07-30,23.362
2020-07-29,24.321
2020-07-28,24.3
2020-07-27,24.501
2020-07-26,23.375
2020-07-24,22.85
2020-07-23,22.988
2020-07-22,23.144
2020-07-21,21.557
2020-07-20,20.192
2020-07-19,19.727
2020-07-17,19.764
2020-07-16,19.573
2020-07-15,19.761
2020-07-14,19.53
2020-07-13,19.788
2020-07-12,19.168
2020-07-10,19.053
2020-07-09,18.962
2020-07-08,19.161
2020-07-07,18.699
2020-07-06,18.582
2020-07-05,18.332
2020-07-03,18.315
2020-07-02,18.322
2020-07-01,18.218
2020-06-30,18.637
2020-06-29,18.064
2020-06-28,18.005
2020-06-26,18.035
2020-06-25,17.895
2020-06-24,17.67
2020-06-23,18.063
2020-06-22,17.902
2020-06-21,17.97
2020-06-19,17.847
2020-06-18,17.508
2020-06-17,17.775
2020-06-16,17.652
2020-06-15,17.399
2020-06-14,17.585
2020-06-12,17.482
2020-06-11,17.889
2020-06-10,17.796
2020-06-09,17.794
2020-06-08,17.893
2020-06-07,17.582
2020-06-05,17.479
2020-06-04,18.061
2020-06-03,17.958
2020-06-02,18.26
2020-06-01,18.827
2020-05-31,18.683
2020-05-29,18.499
2020-05-28,17.967
2020-05-27,17.757
2020-05-26,17.595
2020-05-25,17.642
2020-05-24,17.645
2020-05-22,17.693
2020-05-21,17.364
2020-05-20,18.031
2020-05-19,17.901
