항목명1,원/미국달러(매매기준율),원/일본엔(100엔),원/유로,원/영국파운드
2010-01-04,1167.6,1256.5,1673.46,1883.46
2010-01-05,1156.2,1250.96,1665.97,1860.44
2010-01-06,1144.3,1248.35,1643.96,1829.39
2010-01-07,1138.2,1232.35,1639.52,1822.54
2010-01-08,1133.2,1211.91,1621.38,1804.73
2010-01-11,1132.9,1223.96,1633.47,1820.29
2010-01-12,1119.8,1216.58,1625.56,1804.61
2010-01-13,1124.2,1234.23,1628.85,1817.1
2010-01-14,1126.4,1232.05,1634.41,1833.78
2010-01-15,1122.1,1230.24,1627.16,1833.85
2010-01-18,1123.2,1236.8,1612.58,1827.73
2010-01-19,1126.9,1243.13,1623.75,1843.16
2010-01-20,1124.3,1234.21,1605.39,1839.64
2010-01-21,1132.3,1240.88,1597.34,1845.03
2010-01-22,1138.5,1261.78,1602.27,1842.15
2010-01-25,1150.1,1277.6,1628.14,1853.44
2010-01-26,1149.1,1272.75,1625.8,1866.89
2010-01-27,1151.2,1284.75,1619.91,1857.58
2010-01-28,1159.4,1289.08,1626.81,1875.1
2010-01-29,1156.5,1287,1614.59,1864.91
2010-02-01,1157.9,1284.13,1605.43,1845.46
2010-02-02,1167.8,1287.26,1626.98,1864.22
2010-02-03,1160.1,1283.3,1620.2,1853.43
2010-02-04,1152.2,1267.2,1600.58,1833.73
2010-02-05,1153.3,1291.85,1583.54,1818.24
2010-02-08,1171,1312.49,1599.94,1827.17
2010-02-09,1172.6,1313.91,1601.24,1828.44
2010-02-10,1166.6,1299.4,1609.09,1832.26
2010-02-11,1157.9,1287.13,1591.19,1806.09
2010-02-12,1157.1,1289.46,1584.01,1815.84
2010-02-16,1154.9,1282.72,1570.32,1808.69
2010-02-17,1152.9,1277.38,1586.74,1819.8
2010-02-18,1142.7,1252.96,1554.47,1792.21
2010-02-19,1147.5,1246.47,1546.66,1774.95
2010-02-22,1157.8,1262.94,1575.07,1787.01
2010-02-23,1149.3,1259.85,1563.22,1779.35
2010-02-24,1148.5,1272.93,1552.37,1773.17
2010-02-25,1156.1,1282.06,1565.76,1781.67
2010-02-26,1158.4,1299.31,1569.23,1768.3
2010-03-02,1160.2,1301.18,1574.04,1739.6
2010-03-03,1152.7,1298.38,1569.06,1725.13
2010-03-04,1146.6,1295.67,1571.53,1732.11
2010-03-05,1143.8,1283.08,1552.77,1719.13
2010-03-08,1141.9,1262.05,1558.12,1731.92
2010-03-09,1133.7,1255.97,1544.38,1705.54
2010-03-10,1134.5,1261.54,1543.54,1702.6
2010-03-11,1132.7,1250.77,1546.42,1696.5
2010-03-12,1131,1247.45,1547.89,1706.23
2010-03-15,1131.1,1248.11,1556.79,1717.01
2010-03-16,1133.9,1253.48,1550.89,1706.52
2010-03-17,1133.7,1254.72,1560.54,1727.48
2010-03-18,1129.5,1249.72,1551.26,1730.39
2010-03-19,1131.3,1251.16,1539.93,1725.06
2010-03-22,1132.9,1252.03,1531.68,1698.73
2010-03-23,1136.5,1259.63,1541.26,1716.91
2010-03-24,1134.3,1254.48,1529.43,1704.29
2010-03-25,1135.5,1233.1,1514.3,1691.16
2010-03-26,1141.2,1231.67,1515.46,1690
2010-03-29,1141.7,1235.67,1534.62,1702.96
2010-03-30,1138.6,1230.92,1535.4,1706.08
2010-03-31,1130.8,1217.68,1518.21,1705.08
2010-04-01,1132.5,1209.87,1530.74,1721.8
2010-04-02,1128.3,1202.05,1532.63,1725.06
2010-04-05,1124.3,1188.85,1517.47,1716.58
2010-04-06,1125.1,1192.29,1518.04,1721.46
2010-04-07,1123.1,1198.29,1505.35,1714.97
2010-04-08,1121.8,1202.1,1495.81,1708.61
2010-04-09,1123.2,1202.05,1500.54,1716.08
2010-04-12,1118.8,1201.33,1528.22,1727.71
2010-04-13,1113,1194.65,1512.73,1710.01
2010-04-14,1120.1,1201.95,1525.02,1723.67
2010-04-15,1115.7,1195.56,1523.54,1725.93
2010-04-16,1108.7,1191.57,1504.89,1714.6
2010-04-19,1113.2,1209.47,1501.93,1703.86
2010-04-20,1117,1208.02,1507.06,1713.59
2010-04-21,1115.8,1197.98,1497.91,1713.42
2010-04-22,1110.1,1193.21,1486.15,1710.55
2010-04-23,1110.5,1186.24,1468.03,1702.95
2010-04-26,1110,1180.73,1483.74,1707.51
2010-04-27,1104,1175.59,1480.8,1709.21
2010-04-28,1106.8,1187.49,1458.38,1687.76
2010-04-29,1118.9,1190.76,1478.63,1701.29
2010-04-30,1115.5,1186.77,1479.32,1712.52
2010-05-03,1108.5,1178.44,1476.52,1697.11
2010-05-04,1115.8,1178.99,1472.47,1701.15
2010-05-06,1114.6,1188.15,1428.86,1682.99
2010-05-07,1137.1,1252.86,1435.87,1688.59
2010-05-10,1158.7,1258.98,1492.46,1713.66
2010-05-11,1133.8,1218.09,1447.24,1682.9
2010-05-12,1130.1,1220.81,1428.05,1687.35
2010-05-13,1138.1,1221.79,1437.48,1688.49
2010-05-14,1131,1219.01,1417.77,1652.28
2010-05-17,1133.1,1227.29,1401.25,1646
2010-05-18,1149.9,1243.81,1423.86,1663.68
2010-05-19,1150.2,1250.97,1400.08,1643.18
2010-05-20,1165.1,1271.6,1443.85,1679.96
2010-05-24,1178.6,1306.58,1477.96,1705.55
2010-05-25,1212,1344.72,1496.09,1745.89
2010-05-26,1255.1,1389.15,1549.3,1807.6
2010-05-27,1252.9,1392.42,1524.9,1802.05
2010-05-28,1234.2,1357.08,1524.79,1797.18
2010-05-31,1200.2,1318.54,1474.21,1734.95
2010-06-01,1201.6,1317.47,1476.05,1745.2
2010-06-03,1208.9,1311.46,1478.61,1769.41
2010-06-04,1204.7,1300.83,1465.88,1763.02
2010-06-07,1201.1,1310.6,1435.98,1734.63
2010-06-08,1234.8,1349.95,1472.01,1786.63
2010-06-09,1233.5,1349.27,1476.38,1782.04
2010-06-10,1242.2,1360.57,1489.46,1805.66
2010-06-11,1261.5,1380.8,1527.3,1855.41
2010-06-14,1240.9,1353.73,1512.84,1811.4
2010-06-15,1225,1337.19,1496.28,1804.92
2010-06-16,1223.9,1338.4,1507.36,1810.03
2010-06-17,1211,1324.51,1491.1,1784.53
2010-06-18,1215.9,1338.29,1505.77,1801.72
2010-06-21,1205.9,1333.52,1496.22,1788.77
2010-06-22,1176.7,1292.37,1449.69,1736.93
2010-06-23,1182.6,1305.95,1451.7,1752.38
2010-06-24,1188.2,1321.32,1463.45,1778.02
2010-06-25,1185.2,1322.47,1461.94,1769.62
2010-06-28,1204.7,1348.6,1491.18,1811.39
2010-06-29,1200.4,1343.56,1473.25,1812.12
2010-06-30,1210.3,1364.56,1475.42,1822.95
2010-07-01,1230.1,1391.04,1503.86,1838.45
2010-07-02,1231.2,1404.04,1540.05,1866.75
2010-07-05,1221.2,1392.24,1533.03,1855
2010-07-06,1223.6,1396.56,1533.35,1851.31
2010-07-07,1228.6,1403.95,1549.88,1859.98
2010-07-08,1221.8,1392.52,1543.19,1854.45
2010-07-09,1211.2,1369.67,1537.01,1835.21
2010-07-12,1198.8,1352.59,1515.7,1805.87
2010-07-13,1197.5,1350.82,1507.41,1798.29
2010-07-14,1204.6,1356,1531.23,1829.06
2010-07-15,1199.2,1357.94,1527.72,1830.22
2010-07-16,1204.7,1377.98,1556.77,1860.36
2010-07-19,1201.1,1387.51,1550.68,1838.94
2010-07-20,1215.9,1402.34,1573.25,1851.09
2010-07-21,1211.8,1388.25,1562.25,1852.12
2010-07-22,1203.6,1384.56,1536.88,1827.91
2010-07-23,1206.9,1384.93,1556.84,1842.69
2010-07-26,1197.2,1367.68,1543.13,1846.32
2010-07-27,1194.4,1372.79,1552.24,1850.36
2010-07-28,1183.6,1348.45,1537.91,1845.05
2010-07-29,1186.5,1356.85,1542.03,1850.82
2010-07-30,1187.2,1369.95,1552.38,1852.86
2010-08-02,1185,1370.89,1547.43,1861.16
2010-08-03,1173.4,1354.97,1546.25,1865.12
2010-08-04,1168.7,1362.99,1545.31,1863.32
2010-08-05,1169.5,1355.08,1538.77,1857.87
2010-08-06,1168.2,1360.9,1540.15,1856.74
2010-08-09,1165.7,1364.59,1547.7,1861.62
2010-08-10,1159.1,1349.28,1532.91,1842.27
2010-08-11,1167.2,1367.06,1538.54,1849.66
2010-08-12,1177.3,1381.4,1512.65,1841.3
2010-08-13,1193.6,1386.3,1531.99,1860.11
2010-08-16,1186.7,1377.32,1516.31,1850.72
2010-08-17,1193.2,1398.66,1529.62,1866.4
2010-08-18,1178.7,1376.58,1517.81,1835.83
2010-08-19,1173.9,1373.22,1508.93,1830.99
2010-08-20,1173.3,1375.18,1502.41,1827.53
2010-08-23,1179.9,1379.35,1499,1833.62
2010-08-24,1181.8,1387.33,1493.8,1832.14
2010-08-25,1189,1411.69,1502.06,1832.25
2010-08-26,1195.4,1411,1514.21,1849.76
2010-08-27,1194.4,1415.67,1517.25,1853.47
2010-08-30,1195.2,1398.71,1524.12,1856.92
2010-08-31,1189.1,1405.97,1505.94,1839.72
2010-09-01,1196.8,1423.15,1517.72,1836.85
2010-09-02,1190.6,1410.16,1524.62,1839.54
2010-09-03,1181,1401.86,1514.75,1818.98
2010-09-06,1177.8,1395.91,1518.18,1819.94
2010-09-07,1171.2,1392.71,1506.28,1802.48
2010-09-08,1176.4,1404.66,1491.79,1805.42
2010-09-09,1176.2,1400.74,1497.6,1820.17
2010-09-10,1169.1,1391.79,1483.76,1803.45
2010-09-13,1166.4,1384.2,1483.43,1793.22
2010-09-14,1161.4,1388.4,1495.07,1789.02
2010-09-15,1161.4,1398.01,1508.66,1803.89
2010-09-16,1160.8,1354.97,1509.74,1814.21
