media,time,title
연합뉴스, 2010.06.01. ,오늘의 주요뉴스(오전 4시)
연합뉴스, 2010.01.01. ,새해 경제 재도약 4대 희망변수
연합뉴스, 2012.08.14. ,"환율 보합세…1,120원대 후반(종합)"
연합뉴스, 2012.08.09. ,"금통위 ""韓 성장세 둔화했다"""
연합뉴스, 2012.11.28. ,"환율 2.4원 오른 1,086.5원(마감)"
연합뉴스, 2012.11.28. ,"자동차株 연비사태 회복세…""내년 업황이 관건"""
연합뉴스, 2012.08.07. ,"환율 1.5원 내린 1,127.5원(개장)"
연합뉴스, 2012.08.09. ,北 쌀값ㆍ환율 지속 상승..주민 불안심리 반영
연합뉴스, 2012.11.27. ,"코스피 1,920선 회복"
연합뉴스, 2012.11.28. ,"대신證 ""국내 철강사 주가 상승 가능성 커"""
연합뉴스, 2012.08.07. ,유럽 재정위기 완화 기대감에 환율 하락(종합)
연합뉴스, 2012.08.10. ,"한화證 ""외국인 옵션만기일 1조2천억 순매수"""
연합뉴스, 2012.11.27. ,"코스피 1,920선 회복"
연합뉴스, 2012.11.29. ,<주요신문 사설>(11월29일자 조간)
연합뉴스, 2012.11.30. ,<주요신문 사설>(11월30일자 조간)
연합뉴스, 2012.08.11. ,"아르헨티나 정부, 달러화 거래에 '족쇄'"
연합뉴스, 2012.08.14. ,저가항공사들도 잇따라 운임 인상
연합뉴스, 2012.11.29. ,"환율 2.0원 내린 1,084.5원(개장)"
연합뉴스, 2012.08.23. ,"코스피 5거래일 만에 상승…1,942 마감"
연합뉴스, 2012.08.14. ,"코스피 1,950선 회복…外人 순매수 지속"
연합뉴스, 2012.08.16. ,"환율 4.4원 오른 1,134원(마감)"
연합뉴스, 2012.08.09. ,코스피 옵션만기일 맞아 상승 흐름
연합뉴스, 2012.08.09. ,유럽 지표 부진에 원·달러 환율 상승 출발(종합)
연합뉴스, 2012.08.07. ,"동부證 ""원자재 가격 반등 시점 빨라져"""
연합뉴스, 2012.08.16. ,한일 관계 악화 통화스와프에 불똥 튀나
연합뉴스, 2012.08.08. ,"원ㆍ달러 환율 나흘째 하락…1,120원대 후반(종합)"
연합뉴스, 2012.08.08. ,"환율 0.5원 내린 1,128.3원(마감)"
연합뉴스, 2012.08.07. ,허리띠 졸라매는 유럽 소비자들
연합뉴스, 2012.11.27. ,"환율 1.4원 내린 1,084.1원"
연합뉴스, 2012.11.28. ,"美, 이번에도 中 `환율조작국'  미지정(종합)"
연합뉴스, 2012.11.27. ,"그리스 ""구제금융 타결, 새 출발 기회"""
연합뉴스, 2012.11.28. ,원화강세ㆍ적격대출에 은행 BIS비율 상승
연합뉴스, 2012.11.27. ,"코스피 1,920선 회복"
연합뉴스, 2012.11.28. ,"中企 ""원ㆍ달러 환율 더 떨어질 듯…연말 1,076.5원"""
연합뉴스, 2012.11.27. ,<울산소식> 택시 불편신고 712건…친절교육
연합뉴스, 2012.11.27. ,"中 증시, 3년11개월 만에 2,000선 붕괴(종합)"
연합뉴스, 2012.11.28. ,"환율 1.6원 오른 1,085.7원(개장)"
연합뉴스, 2012.11.28. ,코스피는 내려가고 환율은 올라가고
연합뉴스, 2012.11.28. ,충남 월간 수출액 2개월 연속 '사상 최고'
연합뉴스, 2012.11.28. ,<연합뉴스 이시각 헤드라인> - 08:00
연합뉴스, 2012.11.28. ,美 재정절벽 우려 재부각…환율 상승 출발(종합)
연합뉴스, 2012.11.28. ,코스피는 내려가고 환율은 올라가고
연합뉴스, 2012.11.30. ,"E1, 내달 LPG 공급가 동결…2개월 연속"
연합뉴스, 2012.11.28. ,내린 코스피 오른 환율
연합뉴스, 2012.11.29. ,"환율 2.4원 내린 1,084.1원(마감)"
연합뉴스, 2012.11.30. ,"<PRNewswire>Infosys, 국제 오라클 실행 에코시스템에서 리더로 선정"
